course_a,course_b,weight
C1,C3,6
C1,C27,4
C1,C68,1
C1,C68,3
C1,C93,5
C1,C112,1
C2,C14,6
C2,C28,5
C2,C54,3
C2,C65,3
C2,C80,1
C2,C86,6
C2,C89,2
C2,C101,2
C2,C102,3
C2,C113,6
C3,C10,1
C3,C22,1
C3,C24,6
C3,C31,3
C3,C43,3
C3,C45,5
C3,C55,3
C3,C90,6
C3,C101,6
C3,C102,5
C3,C118,3
C3,C120,3
C4,C25,4
C4,C83,1
C4,C92,4
C5,C16,4
C5,C37,5
C5,C70,4
C5,C75,5
C5,C87,6
C5,C90,4
C5,C94,4
C6,C19,3
C6,C36,5
C6,C70,4
C6,C71,4
C6,C103,2
C6,C108,3
C6,C117,6
C7,C12,2
C7,C36,6
C7,C41,6
C7,C56,2
C7,C61,3
C7,C71,1
C7,C76,2
C7,C86,1
C7,C96,2
C7,C97,5
C7,C105,3
C8,C11,3
C8,C17,6
C8,C26,5
C8,C39,4
C8,C63,4
C8,C64,2
C8,C69,5
C8,C73,2
C8,C81,4
C8,C86,3
C8,C115,1
C9,C12,1
C9,C14,6
C9,C21,4
C9,C65,3
C9,C74,4
C9,C81,3
C9,C88,1
C9,C90,3
C9,C92,2
C9,C102,2
C9,C104,4
C9,C116,5
C10,C28,1
C10,C35,3
C10,C39,2
C10,C50,6
C10,C52,1
C10,C54,2
C10,C86,3
C10,C93,2
C11,C46,4
C11,C51,6
C11,C66,4
C11,C70,2
C11,C81,6
C11,C82,2
C11,C88,5
C12,C38,3
C12,C40,6
C12,C42,1
C12,C87,1
C12,C94,1
C12,C102,5
C12,C107,2
C13,C46,5
C13,C55,4
C13,C69,4
C13,C70,4
C13,C71,6
C13,C91,5
C13,C95,1
C13,C102,3
C13,C103,2
C14,C22,5
C14,C25,1
C14,C25,3
C14,C35,3
C14,C56,1
C14,C74,2
C14,C102,5
C14,C108,1
C15,C17,5
C15,C49,2
C15,C51,4
C15,C61,4
C15,C107,5
C16,C34,3
C16,C44,2
C16,C73,2
C16,C79,4
C16,C82,3
C16,C83,1
C16,C102,3
C16,C106,4
C16,C110,6
C16,C115,1
C17,C29,2
C17,C65,5
C17,C72,6
C17,C88,3
C17,C91,2
C17,C112,4
C17,C120,2
C18,C30,3
C18,C40,3
C18,C55,6
C18,C76,4
C18,C83,1
C19,C25,3
C19,C57,5
C19,C81,3
C19,C97,5
C19,C102,1
C19,C114,2
C20,C28,2
C20,C30,3
C20,C51,2
C20,C78,2
C20,C84,5
C20,C96,5
C20,C107,4
C20,C117,4
C20,C118,1
C21,C22,5
C21,C32,4
C21,C50,5
C21,C77,3
C21,C78,4
C21,C110,3
C21,C118,4
C22,C23,1
C22,C30,2
C22,C49,5
C22,C96,4
C22,C104,4
C22,C105,2
C22,C115,5
C22,C117,6
C23,C80,4
C23,C83,3
C23,C104,4
C23,C115,2
C24,C26,6
C24,C34,6
C24,C38,3
C24,C39,2
C24,C51,5
C24,C62,1
C24,C100,4
C24,C117,1
C25,C67,5
C25,C69,4
C25,C71,1
C25,C72,2
C25,C86,1
C25,C98,5
C26,C30,6
C26,C95,5
C26,C98,2
C26,C106,3
C27,C37,3
C27,C64,1
C27,C65,1
C27,C67,4
C27,C77,4
C27,C79,6
C27,C100,4
C27,C107,1
C27,C107,3
C27,C114,4
C28,C56,3
C28,C72,1
C28,C72,4
C28,C73,2
C28,C76,1
C28,C95,6
C28,C102,3
C28,C107,2
C28,C110,6
C29,C97,3
C29,C97,4
C29,C99,6
C29,C104,6
C30,C51,4
C30,C55,4
C30,C62,6
C30,C69,2
C31,C42,3
C31,C69,4
C31,C71,1
C31,C88,1
C31,C97,1
C31,C107,4
C31,C117,3
C32,C46,6
C32,C63,3
C32,C64,5
C33,C36,1
C33,C51,6
C33,C58,3
C33,C78,3
C34,C38,1
C34,C77,5
C34,C98,4
C34,C120,5
C35,C40,5
C35,C41,1
C35,C67,1
C35,C82,6
C35,C103,2
C35,C109,4
C36,C41,2
C36,C56,6
C36,C67,2
C36,C72,2
C36,C73,5
C36,C85,5
C36,C107,5
C36,C110,1
C37,C39,6
C37,C52,5
C37,C60,3
C37,C81,2
C37,C104,5
C37,C117,4
C37,C118,6
C38,C50,2
C38,C60,1
C38,C73,1
C38,C73,6
C38,C100,6
C38,C106,5
C39,C51,4
C39,C76,5
C39,C82,4
C39,C83,3
C39,C95,1
C39,C97,4
C40,C42,3
C40,C51,6
C40,C53,1
C40,C55,4
C40,C85,5
C40,C86,6
C40,C103,2
C40,C118,4
C41,C42,2
C41,C51,6
C41,C61,1
C41,C74,2
C41,C80,6
C41,C83,1
C41,C101,2
C41,C114,5
C42,C47,3
C42,C49,6
C42,C63,2
C42,C64,1
C42,C69,2
C42,C77,1
C42,C97,5
C42,C101,6
C42,C103,5
C42,C118,1
C43,C64,6
C43,C65,3
C43,C88,2
C43,C94,4
C43,C109,5
C44,C47,5
C44,C89,6
C44,C97,5
C44,C103,3
C44,C115,4
C44,C117,4
C45,C47,2
C45,C48,4
C45,C60,1
C45,C102,3
C45,C112,3
C46,C47,3
C46,C67,5
C46,C103,1
C46,C113,3
C47,C52,5
C47,C56,5
C47,C73,1
C48,C68,1
C48,C68,6
C48,C79,4
C49,C59,4
C49,C59,6
C49,C60,5
C49,C64,4
C49,C72,4
C49,C105,2
C50,C63,4
C50,C73,3
C50,C87,4
C50,C94,3
C50,C99,2
C51,C59,5
C51,C75,3
C51,C81,2
C51,C82,3
C51,C86,3
C51,C95,3
C51,C100,2
C51,C113,4
C52,C67,3
C52,C115,2
C52,C116,6
C53,C60,2
C53,C71,6
C53,C79,2
C53,C97,6
C53,C98,3
C53,C116,5
