course_id,enrollment,instructor
C1,44,I27
C2,91,I27
C3,57,I23
C4,35,I17
C5,54,I26
C6,44,I17
C7,51,I4
C8,15,I3
C9,94,I4
C10,65,I17
C11,32,I27
C12,43,I26
C13,71,I12
C14,43,I28
C15,75,I22
C16,17,I19
C17,40,I1
C18,55,I18
C19,30,I26
C20,66,I26
C21,65,I1
C22,65,I23
C23,97,I7
C24,49,I4
C25,69,I3
C26,38,I18
C27,62,I4
C28,44,I11
C29,38,I4
C30,76,I26
C31,75,I7
C32,93,I22
C33,41,I8
C34,99,I13
C35,69,I19
C36,91,I9
C37,76,I28
C38,55,I9
C39,77,I24
C40,21,I27
C41,73,I11
C42,45,I14
C43,40,I12
C44,77,I25
C45,17,I24
C46,74,I17
C47,87,I13
C48,94,I26
C49,86,I2
C50,49,I16
C51,83,I8
C52,52,I6
C53,92,I11
C54,85,I3
C55,103,I9
C56,50,I25
C57,55,I1
C58,38,I12
C59,52,I28
C60,77,I22
C61,75,I13
C62,98,I10
C63,94,I12
C64,49,I21
C65,57,I7
C66,77,I19
C67,80,I28
C68,48,I4
C69,56,I21
C70,73,I10
C71,94,I27
C72,80,I5
C73,103,I1
C74,24,I4
C75,18,I8
C76,56,I15
C77,28,I8
C78,49,I1
C79,94,I15
C80,105,I10
C81,73,I13
C82,21,I15
C83,35,I27
C84,29,I6
C85,61,I19
C86,50,I9
C87,55,I13
C88,42,I5
C89,97,I13
C90,85,I11
C91,66,I2
C92,36,I4
C93,92,I25
C94,84,I4
C95,100,I17
C96,38,I16
C97,92,I28
C98,42,I24
C99,104,I5
C100,79,I6
C101,34,I8
C102,103,I25
C103,57,I9
C104,89,I10
C105,31,I22
C106,79,I24
C107,50,I21
C108,58,I11
C109,86,I15
C110,19,I27
C111,57,I10
C112,90,I1
C113,50,I1
C114,90,I20
C115,51,I5
C116,70,I12
C117,100,I11
C118,90,I25
C119,103,I14
C120,39,I27
